key,es
WELCOME,¡Bienvenido usuario de fdishinyr!
WELCOME_PARAGRAPH,Este es un ejemplo de módulo multilingüe shiny proporcionado por la biblioteca fdishinyr
GENERIC_CHART_DOWNLOAD_PNG,Descargar PNG
GENERIC_CHART_DOWNLOAD_HTML,Descargar HTML
GENERIC_CHART_TAB_TITLE_PLOT,Gráfico
GENERIC_CHART_TAB_TITLE_STATISTICS,Estadísticas
GENERIC_CHART_NO_DATA,no hay datos disponibles
GENERIC_CHART_PLOT_STYLE_LABEL_LINE,Línea
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_TOTAL,Línea (total)
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_MEAN,Línea (media)
GENERIC_CHART_PLOT_STYLE_LABEL_AREA,Área apilada
GENERIC_CHART_PLOT_STYLE_LABEL_AREA_PERCENT,Área apilada (%)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_MEAN,Barras (media)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR,Barras apiladas
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_PERCENT,Barras apiladas (%)
GENERIC_CHART_PLOT_STYLE_LABEL_RANK,Clasificación (total)
GENERIC_CHART_PLOT_STYLE_LABEL_HEATMAP,Mapa de calor
GENERIC_CHART_PLOT_STYLE_LABEL_BUBBLE,Burbujas
GENERIC_CHART_PLOT_STYLE_LABEL_PIE,Gráfico circular
GENERIC_CHART_PLOT_STYLE_LABEL_DONUT,Donut
GENERIC_CHART_PLOT_STYLE_LABEL_TREEMAP,Treemap
GENERIC_CHART_PLOT_STYLE_LABEL_BOXPLOT,Diagrama de caja
GENERIC_CHART_MESSAGE_STAT,El argumento 'stat' debe ser 'sum' o 'mean'.
GENERIC_CHART_PLOT_GRANU_LABEL_MONTH,Mes
GENERIC_CHART_PLOT_GRANU_LABEL_YEAR,Año
GENERIC_CHART_PLOT_ERROR_LABEL_NONE,Ninguno
GENERIC_CHART_PLOT_ERROR_LABEL_SD,Desviación estándar (SD)
GENERIC_CHART_PLOT_ERROR_LABEL_SE,Error estándar (SE)
GENERIC_CHART_PLOT_ERROR_LABEL_CI95,Intervalo de confianza (IC95%)
GENERIC_CHART_PLOT_STYLE_TITLE,Tipo de gráfico
GENERIC_CHART_PLOT_GRANU_TITLE,Granularidad
GENERIC_CHART_PLOT_ERROR_TITLE,Barras de error
GENERIC_CHART_PLOT_BUBBLE_NO_DATA,Sin datos
GENERIC_CHART_PLOT_RANK_TITLE,Clasificación
